Tool,Statement,Language,Notes
Greatest,#include (<|.*)greatest.h(.*|>),C,
Cassert,#include (<|.*)assert.h(.*|>),C,
Cassert,#include (<|.*)cassert(.*|>),C,
MSTest,using Microsoft.VisualStudio.TestTools.UnitTesting,C#,Double check the import patterns
xUnit,using Xunit,C#,
BenchmarkDotNet,using BenchmarkDotNet,C#,
ApprovalTests,using ApprovalTests,C#,
VSTest,using Microsoft.NET.Test.Sdk,C#,Double check the import patterns
Nunit,using NUnit.Framework,C#,
Moq,using Moq,C#,
Selenium,using OpenQA.Selenium,C#,
Nspec,using NSpec,C#,
Fluent Assertions,using FluentAssertions,C#,
Unity Assertions ,sing UnityEngine.Assertions,C#,
Google Test,#include (<|.*).*gtest.*(.*|>),C++,
CPPUnit,#include (<|.*)cppuni(.*|>),C++,
QTtest,#include (<|.*)QtTest(.*|>),C++,
WEXTest,#include (<|.*)WexTestClass.h(.*|>),C++,
Catch2,#include (<|.*)catch2/catch.hpp(.*|>),C++,
BoostTest,#include(<|.*)boost/test(.*|>),C++,
C++ Template Unit Test Framework,#include (<|.*)tut/tut.hpp(.*|>),C++,
Junit,(import .*.junit.*),Java,
TestNG,import org.testng.*,Java,
AndroidTestCase,import android.test.*,Java,
Mockito,import org.mockito.*,Java,
Hamcret,import static org.hamcrest.*,Java,Hamcrest is a framework for writing matcher objects allowing ‘match’ 
Roboelectric,import org.robolectric.*,Java,Android Testing env
Selenium,import org.openqa.selenium.*,Java,
Powermock,import org.powermock.*,Java,
GroovyTest,import groovy.util.GroovyTestCase,Java,
MockWebServer,import com.google.mockwebserver.*,Java,
AssertJ,import .*.assertj.*,Java,
device-automator,import com.lukekorth.deviceautomator.*,Java,
uiautomator,import androidx.test.uiautomator.*,Java,
Espresso,import android.support.test.espresso.*,Java,
FestAssert,import static org.fest.*,Java,
Truth,import com.google.common.truth,Java,
XCTest/XCTool,#import <XCTest/XCTest.h>,Obj-C,
SenTest ,#import <SenTestingKit/SenTestingKit.h>,Obj-C,
GHUnit,#import <GHUnit/GHUnit.h>,Obj-C,
GRUnit,#import <GRUnit/GRUnit.h>,Obj-C,
Click,from click.testing import CliRunner,Python,Click Testing
Django.test,from django.test.*,Python,
Mock,import.*mock ,Python,
MonkeyRunner,from com.android.monkeyrunner.*,Python,Android testing on the phone
Pytest,import pytest,Python,
QtTest,from PyQt5.QtTest import.* ,Python,UI test
Selenium,from selenium import.*,Python,
SeleniumBase,import base_case from seleniumbase import BaseCase,Python,
TfTest,import tensorflow.test,TF test,Python
Twisted.trial ,from twisted.trial import unittest,Python,
UnitTest,import unittest.*,Python,
WebTest,import webtest,Python,
absl.test ,from absl import absltest,Python,
pytest_redis,import pytest_redis,Python,Pytest plugin
Nose,import nose,Python,
numpy.testing,import numpy.testing,Python,
py.test,import py.test,Python,
testthat,(testthat|library\(testthat.*\)),R,
test-unit,require 'test/unit',Ruby,
test_helper,require 'test_helper',Ruby,
fluent_test,require fluent/test,Ruby,
mini_test,require 'minitest/.*',Ruby,
rack_test,require 'rack/test',Ruby,
mocha,require 'mocha/.*',Ruby,
Rspec,require 'spec_helper,Ruby,
